"no","time_date","time_hours","sourceip","destinationip","protocol","length","info","info_cont1","info_cont2","info_cont3","info_cont4","info_cont5","info_cont6","info_cont7","__dt"
"182328","1970-01-03","06:01:48.017336","fe80::294d:3ea3:b53c:c77f","ff02::1:ff3c:c77f","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182325","1970-01-03","06:01:47.481866","fe80::7479:68ba:3dc6:1d14","ff02::1:ffb1:5cc9","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182326","1970-01-03","06:01:47.608989","fe80::f106:5909:32ae:f4cb","ff02::1:ffae:f4cb","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182329","1970-01-03","06:01:48.252087","fe80::91d7:c7cc:5795:f857","ff02::1:ff95:f857","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182332","1970-01-03","06:01:48.458201","fe80::e8ff:97da:2f7f:abb3","ff02::1:ffc8:928c","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182334","1970-01-03","06:01:48.946961","fe80::f802:c758:21ff:4cef","ff02::1:ff6c:3a78","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182330","1970-01-03","06:01:48.252238","fe80::91d7:c7cc:5795:f857","ff02::1:ff75:80ea","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182331","1970-01-03","06:01:48.295849","fe80::4a8:b1f0:5819:1034","ff02::1:ff00:99e","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182335","1970-01-03","06:01:49.484715","fe80::7479:68ba:3dc6:1d14","ff02::1:ff00:d25","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182337","1970-01-03","06:01:50.066609","fe80::695d:d39c:6fe8:612","ff02::1:ffe8:612","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182338","1970-01-03","06:01:50.225953","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ffbd:f5d0","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182339","1970-01-03","06:01:50.446149","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff76:2c5a","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182342","1970-01-03","06:01:50.961736","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff00:76e","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182343","1970-01-03","06:01:51.151804","fe80::5dd3:6bb3:7720:1e83","ff02::1:ff00:b30","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182345","1970-01-03","06:01:51.415390","fe80::981:b1fd:8de1:811e","ff02::1:ff68:ef0a","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182344","1970-01-03","06:01:51.300564","fe80::4a8:b1f0:5819:1034","ff02::1:ff19:1034","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182336","1970-01-03","06:01:49.563537","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff00:c04","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182347","1970-01-03","06:01:51.511734","fe80::294d:3ea3:b53c:c77f","ff02::1:ff4b:1942","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182346","1970-01-03","06:01:51.462559","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff7f:abb3","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182349","1970-01-03","06:01:51.556386","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff92:eff9","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182351","1970-01-03","06:01:52.862481","fe80::5860:41c8:b74d:ba93","ff02::1:ff00:fa5","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182340","1970-01-03","06:01:50.603231","fe80::b504:f453:742b:7a21","ff02::1:ff00:2c6","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182348","1970-01-03","06:01:51.511801","fe80::294d:3ea3:b53c:c77f","ff02::1:ff00:f69","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182354","1970-01-03","06:01:53.607600","fe80::f106:5909:32ae:f4cb","ff02::1:ffcd:badf","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182359","1970-01-03","06:01:53.822063","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff00:994","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182369","1970-01-03","06:03:49.927680","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","Multicast","Listener","Query","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182358","1970-01-03","06:01:53.821845","::","ff02::1:ff00:994","ICMPv6","78","Neighbor","Solicitation","for","fd2d:ab8c:225::994","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182356","1970-01-03","06:01:53.716623","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff00:994","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182363","1970-01-03","06:02:00.251407","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:f72","ICMPv6","86","Neighbor","Solicitation","for","fe80::da58:d7ff:fe00:f72","from","08:00:27:0a:a9:9c","NULL","NULL","2021-02-16 00:00:00.000"
"182371","1970-01-03","06:03:50.247565","fe80::91d7:c7cc:5795:f857","ff02::1:ff95:f857","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182372","1970-01-03","06:03:50.362036","fe80::5860:41c8:b74d:ba93","ff02::1:ff4a:c304","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182370","1970-01-03","06:03:50.056697","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff3e:dd3c","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182373","1970-01-03","06:03:50.416727","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182375","1970-01-03","06:03:50.557604","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff00:c04","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182374","1970-01-03","06:03:50.441322","fe80::f802:c758:21ff:4cef","ff02::1:ff6c:3a78","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182361","1970-01-03","06:01:55.238358","fd2d:ab8c:225:0:52a:a14a:9cdb:11ee","ff02::1:ff00:1","ICMPv6","86","Neighbor","Solicitation","for","fd2d:ab8c:225::1","from","08:00:27:0a:a9:9c","NULL","NULL","2021-02-16 00:00:00.000"
"182377","1970-01-03","06:03:51.465183","fe80::e8ff:97da:2f7f:abb3","ff02::1:ffc8:928c","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182380","1970-01-03","06:03:52.221835","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ff01:fcd7","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182379","1970-01-03","06:03:52.061638","fe80::695d:d39c:6fe8:612","ff02::1:ff1d:6565","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182381","1970-01-03","06:03:52.304283","fe80::4a8:b1f0:5819:1034","ff02::1:ff00:99e","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
"182382","1970-01-03","06:03:52.322061","fe80::b4ae:c3ed:7921:ab75","ff02::1:ff00:994","ICMPv6","86","Multicast","Listener","Report","NULL","NULL","NULL","NULL","NULL","2021-02-16 00:00:00.000"
